Column1,Column2,Column3,Column4,Column5,,,,,,,,,
圖片連結,畫作名稱,作者,年份,材質,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema001.jpg,期望 Expectations,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1885,油彩．畫布 Oil on Canvas,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema002.jpg,希臘婦女 A Greek Women,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1869,油彩．畫板 Oil on panel,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema003.jpg,無知的對手 Unconscious Rivals,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1893,油彩．畫布 Oil on Canvas,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema004.jpg,最佳位置 A Coign of Vantage,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1895,油彩．畫布 Oil on Canvas,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema005.jpg,黑利阿迦八魯斯的玫瑰 The Roses of Heliogabalus,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1888,油彩．畫布 Oil on Canvas,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema006.jpg,銀色最愛 Silver Favorites,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1903,油彩．畫布 Oil on Canvas,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema007.jpg,粗心的傾訴 Unwelcome Confidences,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1902,油彩．畫板 Oil on panel,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema008.jpg,祝福一路平安 God Speed,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1893,油彩．畫板 Oil on panel,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema009.jpg,安東尼相遇克莉奧佩特拉 The Meeting of Antony and Cleopatra,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1885,油彩．畫板 Oil on panel,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema010.jpg,奧古斯都時期的收藏家 The Collector Of Pictures At The Time Of Augustus,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1867,油彩．畫板 Oil on panel,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema011.jpg,枉然之戀 Vain Courtship,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1900,油彩．畫布 Oil on Canvas,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema012.jpg,是誰呢 Who is it？,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1863,油彩．畫板 Oil on panel,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema013.jpg,春節 A Spring Festival (On the Road to the Temple of Ceres),亞瑪泰得瑪 Sir Lawrence Alma Tadema,1887,油彩．畫布 Oil on Canvas,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema014.jpg,觀望和等待 Watching and Waiting,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1890,油彩．畫板 Oil on panel,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema015.jpg,克勞狄皇帝加冕 Proclaiming Claudius Emperor. opus XLVIII,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1867,油彩．畫板 Oil on panel,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema016.jpg,龐培場景 Escena pompeyana,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1868,油彩．畫布 Oil on Canvas,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema017.jpg,雄辯的沉默 An eloquent silence,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1890,油彩．畫板 Oil on panel,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema018.jpg,悵然遠望 Her Eyes are with Her Thoughts and They are Far Away,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1897,油彩．畫板 Oil on panel,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema019.jpg,羽毛球拍和羽毛球 Battledore and Shuttlecock,亞瑪泰得瑪 Sir Lawrence Alma Tadema,,油彩．畫布 Oil on Canvas,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema020.jpg,沉默的招呼 A Silent Greeting,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1889,油彩．木板 Oil on wood,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema021.jpg,最愛的習俗 A Favourite Custom,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1909,油彩．木板 Oil on wood,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema022.jpg,春天 Spring,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1894,油彩．畫布 Oil on Canvas,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema023.jpg,莎福和阿喀修斯 Sappho and Alcaeus (Opus CCXXIII),亞瑪泰得瑪 Sir Lawrence Alma Tadema,1881,油彩．畫板 Oil on panel,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema024.jpg,阿姆菲斯的女人們 The Women of Amphissa,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1887,油彩．畫布 Oil on Canvas,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/25_01546786058.jpg,女人和鮮花 Woman and Flowers (Opus LIX),亞瑪泰得瑪 Sir Lawrence Alma Tadema,1868,油彩．畫板 Oil on panel,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema026.jpg,講學的荷馬 A Reading from Homer,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1885,油彩．畫布 Oil on Canvas,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/27_01595580270.jpg,溫水浴室 In the Tepidarium,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1881,油彩．畫布 Oil on Canvas,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema028.jpg,不要問我 Ask Me No More,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1906,油彩．畫布 Oil on Canvas,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema029.jpg,發現摩西 The Finding of Moses,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1904,油彩．畫布 Oil on Canvas,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema030.jpg,葡萄酒節 The vintage festival,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1870 - 71,油彩．畫布 Oil on Canvas,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema031.jpg,酒神祭 A dedication to Bacchus,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1889,油彩．畫布 Oil on Canvas,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema032.jpg,克洛維斯的子女教育 The Education of the Children of Clovis,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1861,油彩．畫布 Oil on Canvas,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema033.jpg,夾竹桃 An Oleander,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1882,油彩．畫板 Oil on panel,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/Angelico001.jpg,聖告圖 The Annunciation,安基利柯 Fra Angelico,1430,壁畫 Fresco,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/Angelico002.jpg,相遇 Noli Me Tangere,安基利柯 Fra Angelico,1440 - 41,壁畫 Fresco,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/Angelico003.jpg,在曠野狂喜的聖本篤 Saint Benoit En Extase Au D?sert,安基利柯 Fra Angelico,1430,蛋彩．木板 Tempera on wood,,,,,,,,,
https://www.ss.net.tw/images/product_images/popup_images/Angelico004.jpg,聖母、聖嬰和六位聖徒 Annalena Altarpiece,安基利柯 Fra Angelico,l445,蛋彩．木板 Tempera on wood,,,,,,,,,
